,0
Timestamp,0.999925
Source IP Address,1.0
Destination IP Address,1.0
Source Port,0.744025
Destination Port,0.747375
Protocol,7.5e-05
Packet Length,0.035925
Packet Type,5e-05
Traffic Type,7.5e-05
Payload Data,1.0
Malware Indicators,2.5e-05
Anomaly Scores,0.24565
Alerts/Warnings,2.5e-05
Attack Type,7.5e-05
Attack Signature,5e-05
Action Taken,7.5e-05
Severity Level,7.5e-05
User Information,0.809725
Device Information,0.8026
Network Segment,7.5e-05
Geo-location Data,0.218075
Proxy Information,0.5037
Firewall Logs,2.5e-05
IDS/IPS Alerts,2.5e-05
Log Source,5e-05
